Index,Name,Cereals,Condiments,Dairy,Eggs,Fats & Oils,Flour,Fruits,Herbs; Spices; Dry Seasonings; and Broths,Leavening Agents,Meat & Poultry,Nuts; Seeds; & Beans,Seafood,Sweeteners,Vegetables,Alcohol,Grain,Category,Season
0,Acesulfame Potassium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Artificial,NA
1,Acorn Squash,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Squash,Winter
2,Agar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Seaweed,All Year
3,Agave Syrup,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Syrup,NA
4,Aji Amarillo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Pepper,All Year
5,Ajwain,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Herb,NA
6,Ají Dulce,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Pepper,All Year
7,Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Alcohol,
8,Alfalfa,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Legume,All Year
9,Allspice,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Spice,NA
10,Almond,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Nuts,Fall
11,Almond Extract,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Extract,NA
12,Amaranth,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Herb,All Year
13,Anchovy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fish,NA
14,Anise,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Spice,NA
15,Annatto,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Spice,NA
16,Apple,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Apple,Fall
17,Applesauce,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Sauce,NA
18,Apricot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Stone Fruit,Summer
19,Arrowroot,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Starch,All Year
